KRCH,IRCH,JRCH,ISEG,IREACH,RCHLEN,STRTOP,SLOPE,STRTHICK,STRHC1,THTS,THTI,EPS,UHC
1,56,40,36,29,206,,0.145346023,1,3,0.35,0.3,3.5,0.3
1,56,39,36,30,280,,0.131708891,1,3,0.35,0.3,3.5,0.3
1,48,40,5,4,47,,0.0001,1,3,0.35,0.3,3.5,0.3
1,48,39,5,5,353,,0.096306702,1,3,0.35,0.3,3.5,0.3
1,40,39,8,9,65,,0.015319465,1,3,0.35,0.3,3.5,0.3
1,33,39,14,25,280,,0.124589492,1,3,0.35,0.3,3.5,0.3
1,19,39,27,6,197,,0.020239852,1,3,0.35,0.3,3.5,0.3
1,67,41,42,11,10,,0.0001,1,3,0.35,0.3,3.5,0.3
1,67,40,42,12,328,,0.115596764,1,3,0.35,0.3,3.5,0.3
1,64,41,22,15,127,,0.023547003,1,3,0.35,0.3,3.5,0.3
1,64,40,22,16,265,,0.090234482,1,3,0.35,0.3,3.5,0.3
1,56,40,36,27,32,,0.0001,1,3,0.35,0.3,3.5,0.3
1,47,40,5,3,348,,0.017218917,1,3,0.35,0.3,3.5,0.3
1,42,40,8,14,32,,0.091518345,1,3,0.35,0.3,3.5,0.3
1,42,41,8,15,286,,0.041850902,1,3,0.35,0.3,3.5,0.3
1,41,40,8,11,279,,0.017903917,1,3,0.35,0.3,3.5,0.3
1,41,41,8,12,14,,0.0001,1,3,0.35,0.3,3.5,0.3
1,41,40,8,13,38,,0.07744075,1,3,0.35,0.3,3.5,0.3
1,33,41,14,23,342,,0.058442282,1,3,0.35,0.3,3.5,0.3
1,33,40,14,24,304,,0.022993339,1,3,0.35,0.3,3.5,0.3
